gene1	gene2	SP
YQE_03702	YQE_01610	1
YQE_03735	YQE_04936	1
YQE_03735	YQE_06288	1
YQE_03735	YQE_10729	1
YQE_03735	YQE_01102	1
YQE_03735	YQE_08744	1
YQE_03735	YQE_08245	1
YQE_03735	YQE_00766	1
YQE_03735	YQE_06742	1
YQE_03735	YQE_02259	1
YQE_03735	YQE_03162	1
YQE_03735	YQE_12518	1
YQE_03735	YQE_12932	1
YQE_03735	YQE_01985	1
YQE_03735	YQE_08467	1
YQE_00565	YQE_00138	1
YQE_00565	YQE_01166	1
YQE_00565	YQE_00936	1
YQE_00138	YQE_01166	1
YQE_00138	YQE_00936	1
YQE_00457	YQE_00343	1
YQE_04936	YQE_06288	1
YQE_04936	YQE_10729	1
YQE_04936	YQE_01102	1
YQE_04936	YQE_08744	1
YQE_04936	YQE_08245	1
YQE_04936	YQE_00766	1
YQE_04936	YQE_06742	1
YQE_04936	YQE_02259	1
YQE_04936	YQE_03162	1
YQE_04936	YQE_12518	1
YQE_04936	YQE_12932	1
YQE_04936	YQE_01985	1
YQE_04936	YQE_08467	1
YQE_02608	YQE_06050	1
YQE_02718	YQE_01769	1
YQE_12778	YQE_00629	1
YQE_12778	YQE_12375	1
YQE_12778	YQE_00935	1
YQE_02610	YQE_06973	1
YQE_02610	YQE_05758	1
YQE_06288	YQE_10729	1
YQE_06288	YQE_01102	1
YQE_06288	YQE_08744	1
YQE_06288	YQE_08245	1
YQE_06288	YQE_00766	1
YQE_06288	YQE_06742	1
YQE_06288	YQE_02259	1
YQE_06288	YQE_03162	1
YQE_06288	YQE_12518	1
YQE_06288	YQE_12932	1
YQE_06288	YQE_01985	1
YQE_06288	YQE_08467	1
YQE_06313	YQE_01935	1
YQE_06313	YQE_11924	1
YQE_06313	YQE_05845	1
YQE_06313	YQE_07051	1
YQE_06315	YQE_08340	1
YQE_06351	YQE_01644	1
YQE_00629	YQE_12375	1
YQE_00629	YQE_00935	1
YQE_03879	YQE_07467	1
YQE_03879	YQE_08758	1
YQE_03879	YQE_08792	1
YQE_03879	YQE_08194	1
YQE_03879	YQE_01292	1
YQE_03879	YQE_02675	1
YQE_03879	YQE_05189	1
YQE_03879	YQE_00767	1
YQE_03879	YQE_01223	1
YQE_03879	YQE_02257	1
YQE_03879	YQE_07652	1
YQE_03879	YQE_06954	1
YQE_03879	YQE_05662	1
YQE_03879	YQE_04648	1
YQE_03879	YQE_11555	1
YQE_03879	YQE_12119	1
YQE_10729	YQE_01102	1
YQE_10729	YQE_08744	1
YQE_10729	YQE_08245	1
YQE_10729	YQE_00766	1
YQE_10729	YQE_06742	1
YQE_10729	YQE_02259	1
YQE_10729	YQE_03162	1
YQE_10729	YQE_12518	1
YQE_10729	YQE_12932	1
YQE_10729	YQE_01985	1
YQE_10729	YQE_08467	1
YQE_03404	YQE_04047	1
YQE_03404	YQE_00765	1
YQE_07467	YQE_08758	1
YQE_07467	YQE_08792	1
YQE_07467	YQE_08194	1
YQE_07467	YQE_01292	1
YQE_07467	YQE_02675	1
YQE_07467	YQE_05189	1
YQE_07467	YQE_00767	1
YQE_07467	YQE_01223	1
YQE_07467	YQE_02257	1
YQE_07467	YQE_07652	1
YQE_07467	YQE_06954	1
YQE_07467	YQE_05662	1
YQE_07467	YQE_04648	1
YQE_07467	YQE_11555	1
YQE_07467	YQE_12119	1
YQE_01541	YQE_05061	1
YQE_00477	YQE_00448	1
YQE_12375	YQE_00935	1
YQE_01102	YQE_08744	1
YQE_01102	YQE_08245	1
YQE_01102	YQE_00766	1
YQE_01102	YQE_06742	1
YQE_01102	YQE_02259	1
YQE_01102	YQE_03162	1
YQE_01102	YQE_12518	1
YQE_01102	YQE_12932	1
YQE_01102	YQE_01985	1
YQE_01102	YQE_08467	1
YQE_01166	YQE_00936	1
YQE_08744	YQE_08245	1
YQE_08744	YQE_00766	1
YQE_08744	YQE_06742	1
YQE_08744	YQE_02259	1
YQE_08744	YQE_03162	1
YQE_08744	YQE_12518	1
YQE_08744	YQE_12932	1
YQE_08744	YQE_01985	1
YQE_08744	YQE_08467	1
YQE_08758	YQE_08792	1
YQE_08758	YQE_08194	1
YQE_08758	YQE_01292	1
YQE_08758	YQE_02675	1
YQE_08758	YQE_05189	1
YQE_08758	YQE_00767	1
YQE_08758	YQE_01223	1
YQE_08758	YQE_02257	1
YQE_08758	YQE_07652	1
YQE_08758	YQE_06954	1
YQE_08758	YQE_05662	1
YQE_08758	YQE_04648	1
YQE_08758	YQE_11555	1
YQE_08758	YQE_12119	1
YQE_08792	YQE_08194	1
YQE_08792	YQE_01292	1
YQE_08792	YQE_02675	1
YQE_08792	YQE_05189	1
YQE_08792	YQE_00767	1
YQE_08792	YQE_01223	1
YQE_08792	YQE_02257	1
YQE_08792	YQE_07652	1
YQE_08792	YQE_06954	1
YQE_08792	YQE_05662	1
YQE_08792	YQE_04648	1
YQE_08792	YQE_11555	1
YQE_08792	YQE_12119	1
